国名,宿泊費,飲食費,交通費,サービス、娯楽費,買い物代,その他
韓国,24974,19961 ,7635,3918,21549,47
台湾,35312,28190 ,13548,5057,45441,30
香港,45625,36887 ,16680,5064,50287,36
中国,47854,39984 ,16835,7998,112104,95
タイ,36836,27740 ,15033,4416,40248,149
シンガポール,63311,41406 ,19890,6468,41691,54
マレーシア,44950,30400 ,16372,6467,39424,3
インドネシア,48117,29156 ,20945,5586,37598,17
フィリピン,31448,30074 ,14459,6077,39595,268
ベトナム,55818,43846 ,18901,5923,63650,240
インド,75371,34026 ,21864,3746,26416,0
英国,100692,56050 ,33172,8341,22641,34
ドイツ,84555,47536 ,28332,5974,25252,87
フランス,85544,56933 ,33439,7357,32471,41
イタリア,87652,57803 ,39204,7551,31060,287
スペイン,92543,62129 ,42158,7621,32784,0
ロシア,62710,43837 ,22038,7973,51554,143
米国,82286,50630 ,27318,7862,23407,34
カナダ,74857,47469 ,27578,7993,25178,144
オーストラリア,99175,58878 ,34891,16170,32690,236
